customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_score,segment
656106,3541,1,219.0,1,1,5,115,Hibernating
656414,2860,7,164.5,1,5,5,155,Can't Loose
656592,2431,4,200.07,2,5,5,255,Can't Loose
656897,3540,2,101.44,1,4,4,144,At Risk
657162,3540,1,87.84,1,1,4,114,Hibernating
657243,2441,2,82.8,2,4,4,244,At Risk
657535,2434,4,130.95,2,5,5,255,Can't Loose
657756,3540,1,70.58,1,1,4,114,Hibernating
658397,3539,1,14.76,1,1,1,111,Hibernating
658411,3534,3,118.44,1,5,5,155,Can't Loose
659059,2801,2,54.08,1,4,3,143,At Risk
659223,3539,1,26.86,1,1,1,111,Hibernating
659338,3538,1,51.22,1,1,3,113,Hibernating
659912,3538,2,73.21,1,4,4,144,At Risk
659958,3538,1,26.86,1,1,1,111,Hibernating
660390,2856,1,24.14,1,1,1,111,Hibernating
660413,2397,46,2657.63,2,5,5,255,Can't Loose
660426,3538,1,559.0,1,1,5,115,Hibernating
660436,3538,1,14.76,1,1,1,111,Hibernating
660738,664,5,149.48000000000002,4,5,5,455,Loyal Customers
661029,978,2,57.8,4,4,3,443,Loyal Customers
661060,3537,1,14.76,1,1,1,111,Hibernating
661107,3537,1,29.28,1,1,1,111,Hibernating
661201,3537,1,26.86,1,1,1,111,Hibernating
661306,3537,1,36.54,1,1,2,112,Hibernating
661435,3537,1,26.86,1,1,1,111,Hibernating
661507,3537,2,124.43,1,4,5,145,At Risk
661575,3537,1,51.22,1,1,3,113,Hibernating
661676,3536,1,51.22,1,1,3,113,Hibernating
661774,3536,1,14.76,1,1,1,111,Hibernating
661914,2824,2,150.18,1,4,5,145,At Risk
662027,2855,2,74.65,1,4,4,144,At Risk
662106,3536,2,100.23,1,4,4,144,At Risk
662136,1347,10,472.55,3,5,5,355,Loyal Customers
662228,3536,1,849.24,1,1,5,115,Hibernating
662260,3536,2,147.5,1,4,5,145,At Risk
662463,241,5,136.72,5,5,5,555,Champions
662563,3536,1,26.86,1,1,1,111,Hibernating
662640,3536,1,163.1,1,1,5,115,Hibernating
662705,3536,1,51.22,1,1,3,113,Hibernating
662803,1721,5,130.56,3,5,5,355,Loyal Customers
662818,3536,1,29.28,1,1,1,111,Hibernating
663346,3536,1,26.86,1,1,1,111,Hibernating
663515,3186,2,50.31,1,4,3,143,At Risk
663650,3535,1,51.83,1,1,3,113,Hibernating
664140,3535,1,51.22,1,1,3,113,Hibernating
664191,3535,1,26.86,1,1,1,111,Hibernating
664254,3535,1,52.76,1,1,3,113,Hibernating
664264,3534,2,103.97999999999999,1,4,4,144,At Risk
664346,973,8,230.13,4,5,5,455,Loyal Customers
664623,3177,4,101.1,1,5,4,154,Can't Loose
664696,3535,1,26.86,1,1,1,111,Hibernating
664845,3535,1,27.67,1,1,1,111,Hibernating
665099,3162,2,66.72,1,4,4,144,At Risk
665712,3535,1,26.86,1,1,1,111,Hibernating
666303,3534,1,26.86,1,1,1,111,Hibernating
666500,3534,1,22.02,1,1,1,111,Hibernating
666526,2792,2,54.08,1,4,3,143,At Risk
666796,3534,2,53.72,1,4,3,143,At Risk
666965,3534,1,14.76,1,1,1,111,Hibernating
667680,3534,1,26.86,1,1,1,111,Hibernating
667875,3528,2,67.38,1,4,4,144,At Risk
668171,3533,1,102.65,1,1,4,114,Hibernating
668732,3533,1,51.22,1,1,3,113,Hibernating
669129,3533,1,15.2,1,1,1,111,Hibernating
669185,3533,1,26.86,1,1,1,111,Hibernating
669372,3533,2,83.29,1,4,4,144,At Risk
669424,3533,2,182.59,1,4,5,145,At Risk
669527,3533,1,82.08,1,1,4,114,Hibernating
669744,3532,1,202.88,1,1,5,115,Hibernating
669896,3532,1,14.76,1,1,1,111,Hibernating
669946,622,2,194.17,4,4,5,445,Loyal Customers
670044,3532,1,26.86,1,1,1,111,Hibernating
670067,3532,1,811.35,1,1,5,115,Hibernating
670179,3532,1,26.86,1,1,1,111,Hibernating
670249,3525,3,91.69,1,5,4,154,Can't Loose
670330,3532,1,14.76,1,1,1,111,Hibernating
670393,2805,2,141.61,1,4,5,145,At Risk
670479,3532,1,29.04,1,1,1,111,Hibernating
670553,3169,3,73.32,1,5,4,154,Can't Loose
670590,3532,2,54.53,1,4,3,143,At Risk
670923,3530,2,125.16,1,4,5,145,At Risk
671214,3526,4,95.62,1,5,4,154,Can't Loose
671242,3532,1,51.22,1,1,3,113,Hibernating
671255,3532,1,70.58,1,1,4,114,Hibernating
671515,3531,1,22.02,1,1,1,111,Hibernating
671591,1356,4,142.13,3,5,5,355,Loyal Customers
671640,246,6,231.5,5,5,5,555,Champions
671650,2481,3,45.08,2,5,3,253,Can't Loose
671874,3530,8,474.68,1,5,5,155,Can't Loose
671889,3531,1,26.86,1,1,1,111,Hibernating
672052,2430,3,73.2,2,5,4,254,Can't Loose
672069,3531,2,30.4,1,4,1,141,At Risk
672094,3531,1,51.97,1,1,3,113,Hibernating
672103,3531,2,102.44,1,4,4,144,At Risk
672138,3531,1,14.76,1,1,1,111,Hibernating
672284,3531,1,26.86,1,1,1,111,Hibernating
672287,2848,4,135.89,1,5,5,155,Can't Loose
672319,3531,1,22.02,1,1,1,111,Hibernating
672412,2818,3,80.94,1,5,4,154,Can't Loose
672454,3531,1,51.22,1,1,3,113,Hibernating
672559,3530,1,22.02,1,1,1,111,Hibernating
672656,3530,1,26.86,1,1,1,111,Hibernating
672902,3530,1,87.84,1,1,4,114,Hibernating
672910,2451,3,104.62,2,5,4,254,Can't Loose
672963,3530,1,26.86,1,1,1,111,Hibernating
672974,3530,1,26.86,1,1,1,111,Hibernating
672986,3530,1,26.86,1,1,1,111,Hibernating
673037,3530,2,53.72,1,4,3,143,At Risk
673056,1335,3,73.44,3,5,4,354,Loyal Customers
673084,602,4,259.81,5,5,5,555,Champions
673269,3530,1,51.22,1,1,3,113,Hibernating
673322,2467,1,31.58,2,1,1,211,Hibernating
673533,2797,4,178.66,1,5,5,155,Can't Loose
673712,2074,3,239.31,2,5,5,255,Can't Loose
673922,3528,1,133.1,1,1,5,115,Hibernating
673936,1719,2,166.76999999999998,3,4,5,345,Loyal Customers
673941,3529,2,54.99,1,4,3,143,At Risk
674265,3529,1,44.04,1,1,3,113,Hibernating
674317,251,4,139.45999999999998,5,5,5,555,Champions
674431,3529,1,22.02,1,1,1,111,Hibernating
674472,642,6,261.09000000000003,4,5,5,455,Loyal Customers
674508,647,2,84.97,4,4,4,444,Loyal Customers
674550,3528,1,26.86,1,1,1,111,Hibernating
674596,648,2,64.8,4,4,3,443,Loyal Customers
674628,3528,1,26.86,1,1,1,111,Hibernating
674875,3528,1,14.76,1,1,1,111,Hibernating
674879,3528,2,143.87,1,4,5,145,At Risk
674898,3528,1,22.02,1,1,1,111,Hibernating
675006,2074,3,104.92,2,5,4,254,Can't Loose
675152,2081,4,138.43,2,5,5,255,Can't Loose
675249,3528,1,51.22,1,1,3,113,Hibernating
675273,3528,1,26.86,1,1,1,111,Hibernating
675355,3527,2,517.7,1,4,5,145,At Risk
675373,2075,12,561.02,2,5,5,255,Can't Loose
675404,3527,1,26.86,1,1,1,111,Hibernating
675462,3527,1,102.65,1,1,4,114,Hibernating
675532,3527,2,117.17,1,4,5,145,At Risk
675582,3527,2,84.19,1,4,4,144,At Risk
675616,3527,4,231.31,1,5,5,155,Can't Loose
675901,3527,2,73.08,1,4,4,144,At Risk
675918,3526,1,51.22,1,1,3,113,Hibernating
675949,3178,2,148.51999999999998,1,4,5,145,At Risk
676221,3526,1,29.28,1,1,1,111,Hibernating
676313,3526,1,22.02,1,1,1,111,Hibernating
676336,3526,1,14.76,1,1,1,111,Hibernating
676420,3526,1,26.86,1,1,1,111,Hibernating
676421,2428,2,54.08,2,4,3,243,At Risk
676509,3526,1,14.76,1,1,1,111,Hibernating
676524,3526,2,109.91,1,4,4,144,At Risk
676548,3526,1,14.76,1,1,1,111,Hibernating
676636,3526,1,44.04,1,1,3,113,Hibernating
676637,3526,1,26.86,1,1,1,111,Hibernating
676720,639,4,159.34,4,5,5,455,Loyal Customers
676734,3526,1,44.04,1,1,3,113,Hibernating
676778,3526,2,114.14,1,4,5,145,At Risk
676905,3526,1,22.02,1,1,1,111,Hibernating
676907,3526,2,129.35,1,4,5,145,At Risk
677037,3525,1,26.86,1,1,1,111,Hibernating
677049,3173,2,43.05,1,4,2,142,At Risk
677129,2437,3,495.21999999999997,2,5,5,255,Can't Loose
677155,2070,3,420.62,2,5,5,255,Can't Loose
677159,3525,2,53.72,1,4,3,143,At Risk
677187,3159,3,108.78999999999999,1,5,4,154,Can't Loose
677235,3525,1,26.86,1,1,1,111,Hibernating
677236,3525,1,26.86,1,1,1,111,Hibernating
677298,3525,1,26.86,1,1,1,111,Hibernating
677331,3525,1,26.86,1,1,1,111,Hibernating
677419,2441,2,65.19,2,4,4,244,At Risk
677440,3525,1,22.02,1,1,1,111,Hibernating
677998,3525,2,79.66,1,4,4,144,At Risk
678035,3525,1,26.86,1,1,1,111,Hibernating
678183,3525,1,22.02,1,1,1,111,Hibernating
678191,2793,2,41.98,1,4,2,142,At Risk
678227,3525,1,51.22,1,1,3,113,Hibernating
678244,1384,2,215.47,3,4,5,345,Loyal Customers
678319,2801,2,71.78999999999999,1,4,4,144,At Risk
678612,2485,2,54.08,2,4,3,243,At Risk
678624,3524,1,51.22,1,1,3,113,Hibernating
678921,3524,3,211.15,1,5,5,155,Can't Loose
679239,3524,1,22.02,1,1,1,111,Hibernating
679270,3524,1,87.84,1,1,4,114,Hibernating
679572,3178,2,48.86,1,4,3,143,At Risk
685087,3518,1,14.76,1,1,1,111,Hibernating
685683,3517,1,14.76,1,1,1,111,Hibernating
686684,3517,1,51.22,1,1,3,113,Hibernating
704345,3136,2,3414.4,1,4,5,145,At Risk
706711,3504,1,14.76,1,1,1,111,Hibernating
712106,3469,2,1023.8,1,4,5,145,At Risk
723920,3494,3,73.46000000000001,1,5,4,154,Can't Loose
735787,3489,1,34.36,1,1,2,112,Hibernating
740322,3486,1,186.82,1,1,5,115,Hibernating
747245,3471,2,60.65,1,4,3,143,At Risk
752477,3478,2,102.44,1,4,4,144,At Risk
754372,3477,1,26.86,1,1,1,111,Hibernating
754924,3477,1,37.45,1,1,2,112,Hibernating
759842,3430,2,58.8,1,4,3,143,At Risk
761939,3471,1,22.57,1,1,1,111,Hibernating
763697,3470,1,22.02,1,1,1,111,Hibernating
804501,3444,1,22.02,1,1,1,111,Hibernating
805738,3444,3,80.58,1,5,4,154,Can't Loose
807582,3442,2,70.44,1,4,4,144,At Risk
809290,3140,2,59.99,1,4,3,143,At Risk
809506,1005,7,342.3,3,5,5,355,Loyal Customers
811169,3440,1,14.76,1,1,1,111,Hibernating
812072,3440,1,26.86,1,1,1,111,Hibernating
823188,3434,1,112.33,1,1,5,115,Hibernating
833780,3426,1,7.26,1,1,1,111,Hibernating
845368,2968,3,79.35,1,5,4,154,Can't Loose
848576,3417,1,27.53,1,1,1,111,Hibernating
848914,2047,4,225.64,2,5,5,255,Can't Loose
853778,2717,2,59.48,1,4,3,143,At Risk
854389,3414,1,36.54,1,1,2,112,Hibernating
865494,3411,1,14.76,1,1,1,111,Hibernating
868847,3409,1,22.02,1,1,1,111,Hibernating
880536,3407,1,14.76,1,1,1,111,Hibernating
881733,3406,1,27.53,1,1,1,111,Hibernating
896219,1750,3,55.67,3,5,3,353,Loyal Customers
900053,3394,1,22.47,1,1,1,111,Hibernating
900277,3394,1,15.59,1,1,1,111,Hibernating
900738,3393,1,27.31,1,1,1,111,Hibernating
901022,3393,1,15.21,1,1,1,111,Hibernating
910596,3388,1,23.03,1,1,1,111,Hibernating
914120,3386,1,100.09,1,1,4,114,Hibernating
920525,3384,1,22.47,1,1,1,111,Hibernating
923758,641,2,189.77,4,4,5,445,Loyal Customers
929404,3379,1,15.21,1,1,1,111,Hibernating
943398,2815,2,69.09,1,4,4,144,At Risk
946332,3372,1,27.31,1,1,1,111,Hibernating
952995,3369,1,27.31,1,1,1,111,Hibernating
965569,3364,1,27.31,1,1,1,111,Hibernating
970750,3361,1,36.86,1,1,2,112,Hibernating
972401,3361,2,30.8,1,4,1,141,At Risk
975099,347,2,64.12,5,4,3,543,Champions
1004743,2956,3,100.27,1,5,4,154,Can't Loose
1016796,3342,2,98.24,1,4,4,144,At Risk
1018304,3341,1,27.31,1,1,1,111,Hibernating
1024634,3338,1,27.99,1,1,1,111,Hibernating
1025593,2600,3,74.48,1,5,4,154,Can't Loose
1026800,3337,2,55.3,1,4,3,143,At Risk
1027941,3337,1,27.31,1,1,1,111,Hibernating
1035077,3218,3,106.83,1,5,4,154,Can't Loose
1036501,2780,4,161.82,1,5,5,155,Can't Loose
1038760,2626,3,82.94,1,5,4,154,Can't Loose
1041720,3330,1,103.34,1,1,4,114,Hibernating
1045052,3329,1,15.21,1,1,1,111,Hibernating
1045183,1065,2,58.9,3,4,3,343,Loyal Customers
1045195,3328,1,27.31,1,1,1,111,Hibernating
1046037,2571,1,27.22,1,1,1,111,Hibernating
1046333,3328,1,110.36,1,1,4,114,Hibernating
1047842,3327,1,29.79,1,1,1,111,Hibernating
1049939,3326,1,29.79,1,1,1,111,Hibernating
1049971,3326,1,29.06,1,1,1,111,Hibernating
1051994,2597,4,110.35,1,5,4,154,Can't Loose
1054997,3323,2,59.58,1,4,3,143,At Risk
1055429,3323,1,15.21,1,1,1,111,Hibernating
1055627,3323,1,29.06,1,1,1,111,Hibernating
1056405,3323,2,32.0,1,4,2,142,At Risk
1056668,3318,1,21.11,1,1,1,111,Hibernating
1057261,3246,2,56.37,1,4,3,143,At Risk
1058240,3322,1,29.06,1,1,1,111,Hibernating
1060143,3321,1,16.4,1,1,1,111,Hibernating
1060225,3320,1,29.79,1,1,1,111,Hibernating
1060388,3320,1,29.79,1,1,1,111,Hibernating
1060393,3312,3,93.46000000000001,1,5,4,154,Can't Loose
1060419,3320,1,29.79,1,1,1,111,Hibernating
1061845,3319,1,37.01,1,1,2,112,Hibernating
1065327,2573,3,137.96,1,5,5,155,Can't Loose
1066344,3317,1,29.06,1,1,1,111,Hibernating
1067370,3317,1,29.06,1,1,1,111,Hibernating
1067371,3317,1,29.06,1,1,1,111,Hibernating
1069783,3316,1,29.06,1,1,1,111,Hibernating
1069829,3316,3,87.91,1,5,4,154,Can't Loose
1070314,3316,1,29.79,1,1,1,111,Hibernating
1070648,3315,1,29.06,1,1,1,111,Hibernating
1070829,3315,2,38.04,1,4,2,142,At Risk
1071322,3315,2,32.4,1,4,2,142,At Risk
1072199,3315,1,31.8,1,1,1,111,Hibernating
1072313,3315,1,16.0,1,1,1,111,Hibernating
1078625,3311,1,117.14,1,1,5,115,Hibernating
1079137,3311,1,31.8,1,1,1,111,Hibernating
1080334,3311,1,31.8,1,1,1,111,Hibernating
1083190,3310,1,31.8,1,1,1,111,Hibernating
1083352,3309,1,16.0,1,1,1,111,Hibernating
1083362,3309,1,31.8,1,1,1,111,Hibernating
1085517,3309,1,31.8,1,1,1,111,Hibernating
1086098,3308,1,31.8,1,1,1,111,Hibernating
1086874,3308,1,31.8,1,1,1,111,Hibernating
1087846,2832,2,199.23000000000002,1,4,5,145,At Risk
1088437,3307,1,120.06,1,1,5,115,Hibernating
1089047,3307,1,31.8,1,1,1,111,Hibernating
1090599,3162,2,49.13,1,4,3,143,At Risk
1090894,3306,1,22.81,1,1,1,111,Hibernating
1091908,3305,1,129.4,1,1,5,115,Hibernating
1091953,3305,1,31.8,1,1,1,111,Hibernating
1092477,2513,2,46.21,2,4,3,243,At Risk
1093160,3304,1,31.8,1,1,1,111,Hibernating
1094808,3279,3,95.4,1,5,4,154,Can't Loose
1096408,3303,1,31.8,1,1,1,111,Hibernating
1096533,3303,1,31.8,1,1,1,111,Hibernating
1097119,3303,1,31.8,1,1,1,111,Hibernating
1097342,3303,1,15.59,1,1,1,111,Hibernating
1097402,3303,1,31.8,1,1,1,111,Hibernating
1098284,3302,1,31.8,1,1,1,111,Hibernating
1098539,3302,1,31.8,1,1,1,111,Hibernating
1099040,3302,1,49.28,1,1,3,113,Hibernating
1102062,3294,2,30.8,1,4,1,141,At Risk
1102323,3301,1,32.6,1,1,2,112,Hibernating
1103213,3300,1,31.8,1,1,1,111,Hibernating
1104032,3300,1,31.8,1,1,1,111,Hibernating
1104201,3300,1,31.8,1,1,1,111,Hibernating
1104459,3298,2,63.6,1,4,3,143,At Risk
1105520,3299,1,117.14,1,1,5,115,Hibernating
1106365,3298,1,16.0,1,1,1,111,Hibernating
1106914,3298,1,117.14,1,1,5,115,Hibernating
1107133,3298,1,16.0,1,1,1,111,Hibernating
1107980,3298,2,63.6,1,4,3,143,At Risk
1108006,3298,1,32.6,1,1,2,112,Hibernating
1108045,3298,1,31.8,1,1,1,111,Hibernating
1109240,3297,1,31.8,1,1,1,111,Hibernating
1109325,3297,1,31.8,1,1,1,111,Hibernating
1109677,3297,1,32.6,1,1,2,112,Hibernating
1110255,1526,5,1075.52,3,5,5,355,Loyal Customers
1111308,3297,1,32.6,1,1,2,112,Hibernating
1112430,3296,1,31.8,1,1,1,111,Hibernating
1114066,3296,1,32.6,1,1,2,112,Hibernating
1115266,3295,1,31.8,1,1,1,111,Hibernating
1116003,3295,1,32.6,1,1,2,112,Hibernating
1116985,3295,1,31.8,1,1,1,111,Hibernating
1117103,3295,2,39.06,1,4,2,142,At Risk
1117295,3295,1,31.8,1,1,1,111,Hibernating
1117298,3295,1,31.8,1,1,1,111,Hibernating
1118454,3294,1,31.8,1,1,1,111,Hibernating
1118999,3294,1,31.8,1,1,1,111,Hibernating
1119386,3291,3,116.28,1,5,5,155,Can't Loose
1119681,3294,1,31.8,1,1,1,111,Hibernating
1120904,3293,1,31.8,1,1,1,111,Hibernating
1121869,3293,2,63.6,1,4,3,143,At Risk
1121931,3162,2,91.62,1,4,4,144,At Risk
1122024,3293,1,31.8,1,1,1,111,Hibernating
1122362,3286,3,62.22,1,5,3,153,Can't Loose
1124131,3291,1,31.8,1,1,1,111,Hibernating
1124429,2843,4,291.46,1,5,5,155,Can't Loose
1124973,3185,3,70.47999999999999,1,5,4,154,Can't Loose
1126460,3291,1,48.08,1,1,3,113,Hibernating
1126964,3290,1,31.8,1,1,1,111,Hibernating
1127765,3290,1,31.8,1,1,1,111,Hibernating
1128159,3290,1,31.8,1,1,1,111,Hibernating
1128361,3290,1,31.8,1,1,1,111,Hibernating
1129011,3290,1,8.25,1,1,1,111,Hibernating
1129016,3290,1,16.0,1,1,1,111,Hibernating
1130921,2923,2,75.06,1,4,4,144,At Risk
1131922,3289,1,31.8,1,1,1,111,Hibernating
1132005,3289,1,30.47,1,1,1,111,Hibernating
1132010,3289,1,15.59,1,1,1,111,Hibernating
1132711,3288,2,39.85,1,4,2,142,At Risk
1133582,1834,2,72.77,2,4,4,244,At Risk
1134100,3288,1,31.8,1,1,1,111,Hibernating
1134249,3288,1,31.8,1,1,1,111,Hibernating
1137778,3286,4,159.05,1,5,5,155,Can't Loose
1137886,3286,3,95.4,1,5,4,154,Can't Loose
1138737,3286,2,237.2,1,4,5,145,At Risk
1139978,3286,1,31.8,1,1,1,111,Hibernating
1140198,3274,2,64.4,1,4,3,143,At Risk
1140228,3007,3,198.3,1,5,5,155,Can't Loose
1140276,3286,1,31.8,1,1,1,111,Hibernating
1140982,3285,1,32.6,1,1,2,112,Hibernating
1142437,3285,1,32.6,1,1,2,112,Hibernating
1143118,640,3,266.88,4,5,5,455,Loyal Customers
1143415,3284,1,31.8,1,1,1,111,Hibernating
1144278,3284,2,109.15,1,4,4,144,At Risk
1144896,3284,1,49.28,1,1,3,113,Hibernating
1145212,3284,1,32.6,1,1,2,112,Hibernating
1145554,3283,1,31.8,1,1,1,111,Hibernating
1145678,760,2,73.07000000000001,4,4,4,444,Loyal Customers
1148111,2962,3,129.76,1,5,5,155,Can't Loose
1148138,3244,2,45.06,1,4,3,143,At Risk
1149046,3282,1,32.6,1,1,2,112,Hibernating
1149690,3282,1,117.14,1,1,5,115,Hibernating
1149872,3132,2,82.19999999999999,1,4,4,144,At Risk
1150149,3030,4,216.24,1,5,5,155,Can't Loose
1151709,3282,1,32.6,1,1,2,112,Hibernating
1152138,3281,1,38.76,1,1,2,112,Hibernating
1154744,3281,1,31.8,1,1,1,111,Hibernating
1154965,3281,1,31.8,1,1,1,111,Hibernating
1155130,3221,2,60.86,1,4,3,143,At Risk
1155549,3280,1,31.8,1,1,1,111,Hibernating
1156407,3280,1,32.6,1,1,2,112,Hibernating
1156989,3280,1,31.8,1,1,1,111,Hibernating
1157517,3280,1,29.56,1,1,1,111,Hibernating
1157565,1468,2,70.47,3,4,4,344,Loyal Customers
1157567,2597,5,244.89,1,5,5,155,Can't Loose
1157661,3280,1,117.14,1,1,5,115,Hibernating
1158012,3273,2,148.94,1,4,5,145,At Risk
1158083,3279,1,31.8,1,1,1,111,Hibernating
1158406,3279,1,31.8,1,1,1,111,Hibernating
1158444,3279,1,31.8,1,1,1,111,Hibernating
1159799,3279,1,31.8,1,1,1,111,Hibernating
1160135,3278,1,31.8,1,1,1,111,Hibernating
1160586,3278,1,31.8,1,1,1,111,Hibernating
1160729,3278,1,31.8,1,1,1,111,Hibernating
1161156,3278,1,32.6,1,1,2,112,Hibernating
1161229,3278,1,16.0,1,1,1,111,Hibernating
1162419,3277,1,38.76,1,1,2,112,Hibernating
1162736,3277,1,38.76,1,1,2,112,Hibernating
1163005,3277,1,117.14,1,1,5,115,Hibernating
1163625,2577,3,112.62,1,5,5,155,Can't Loose
1163705,3277,1,31.8,1,1,1,111,Hibernating
1163725,3277,1,31.8,1,1,1,111,Hibernating
1164048,3277,1,31.8,1,1,1,111,Hibernating
1164669,3010,2,76.78,1,4,4,144,At Risk
1165030,3277,1,31.8,1,1,1,111,Hibernating
1165159,3276,2,64.4,1,4,3,143,At Risk
1165496,3276,1,16.0,1,1,1,111,Hibernating
1166451,3276,1,31.8,1,1,1,111,Hibernating
1166513,3276,1,16.0,1,1,1,111,Hibernating
1167854,3276,1,31.8,1,1,1,111,Hibernating
1168080,3276,1,31.8,1,1,1,111,Hibernating
1170864,3275,1,31.8,1,1,1,111,Hibernating
1171388,3274,1,31.8,1,1,1,111,Hibernating
1172205,3274,1,31.8,1,1,1,111,Hibernating
1172670,3274,1,31.8,1,1,1,111,Hibernating
1173183,2492,3,120.87,2,5,5,255,Can't Loose
1173262,3274,1,16.0,1,1,1,111,Hibernating
1174853,3273,1,129.4,1,1,5,115,Hibernating
1175169,3273,2,63.6,1,4,3,143,At Risk
1175953,3273,1,31.8,1,1,1,111,Hibernating
1176027,3272,1,32.6,1,1,2,112,Hibernating
1176094,378,3,118.41,5,5,5,555,Champions
1176406,3272,2,63.6,1,4,3,143,At Risk
1177187,3231,2,60.86,1,4,3,143,At Risk
1177881,3272,1,31.8,1,1,1,111,Hibernating
1178210,3272,1,117.14,1,1,5,115,Hibernating
1179539,3271,2,63.6,1,4,3,143,At Risk
1179782,3271,1,31.8,1,1,1,111,Hibernating
1180579,3271,1,16.4,1,1,1,111,Hibernating
1180823,3253,2,79.88,1,4,4,144,At Risk
1181693,3270,1,31.8,1,1,1,111,Hibernating
1183229,3270,2,64.4,1,4,3,143,At Risk
1183370,2968,2,55.18,1,4,3,143,At Risk
1183373,3270,1,32.6,1,1,2,112,Hibernating
1186855,3269,1,31.8,1,1,1,111,Hibernating
1188821,2855,2,59.900000000000006,1,4,3,143,At Risk
1189146,1337,3,81.28,3,5,4,354,Loyal Customers
1189394,3268,1,31.8,1,1,1,111,Hibernating
1189810,1607,3,645.58,3,5,5,355,Loyal Customers
1190725,3267,1,120.06,1,1,5,115,Hibernating
1191484,3267,1,31.8,1,1,1,111,Hibernating
1193701,3266,1,44.94,1,1,3,113,Hibernating
1193965,2816,2,64.42,1,4,3,143,At Risk
